,Barcelona,Barcelona,Bellaterra,Bellaterra,Girona,Girona,Lleida,Lleida,Manresa,Manresa,Roquetes,Roquetes,Tarragona,Tarragona,Vielha,Vielha,Planes de Son,Planes de Son
Parietaria (Urticaceae),3,A,3,A,3,A,3,A,3,A,3.0,A,3.0,A,1.0,=,1.0,=
Gramíneas (Gramineae (Poaceae)),1,=,1,=,1,=,2,=,1,=,1.0,=,0.0,=,0.0,=,0.0,=
Olivo (Olea),0,=,0,=,0,=,0,=,0,=,0.0,=,0.0,=,0.0,=,0.0,=
Abedul (Betula),1,=,1,=,1,A,1,=,1,=,0.0,=,0.0,=,1.0,A,1.0,A
Arce (Acer),0,=,0,=,1,=,1,=,1,=,0.0,=,0.0,=,0.0,=,0.0,=
Chopo (Populus),1,=,2,=,2,=,2,=,1,=,1.0,=,1.0,=,2.0,=,1.0,=
Cipreses (Cupressaceae),1,=,1,=,1,=,1,=,1,=,1.0,=,1.0,=,1.0,=,1.0,=
Crucíferas (Brasicáceas) (Cruciferae (Brassicaceae)),1,=,1,=,1,=,2,=,1,=,1.0,=,1.0,=,0.0,=,0.0,=
Fresno (Fraxinus),0,=,0,=,1,=,0,=,1,=,0.0,=,0.0,=,1.0,A,1.0,=
Lentisco (Pistacia),1,=,1,=,1,=,1,=,1,=,2.0,=,1.0,=,0.0,=,0.0,=
Llantén (Plantago),1,=,1,=,1,=,1,=,1,=,1.0,=,1.0,=,0.0,=,0.0,=
Mercurial (Mercurialis),1,=,1,=,1,=,1,=,1,=,1.0,=,2.0,=,0.0,=,0.0,=
Moreras (Moraceae totum),2,=,2,=,2,A,2,=,2,=,2.0,=,2.0,=,0.0,=,0.0,=
Pino (Pinus),3,=,3,=,3,=,2,A,3,=,2.0,=,3.0,=,1.0,=,1.0,=
Plátano (Platanus),4,D,3,D,3,D,3,D,4,=,2.0,=,2.0,=,1.0,=,1.0,=
Roble/Encina (Quercus Totum),4,=,4,=,4,=,2,A,4,=,2.0,A,3.0,A,1.0,A,1.0,A
Sauce (Salix),1,=,1,=,1,=,1,=,1,=,1.0,=,1.0,=,1.0,=,2.0,=
Alternaria (Alternaria),1,=,1,=,1,=,2,=,1,=,1.0,=,1.0,=,0.0,=,0.0,=
Cladosporium (Cladosporium),1,=,1,=,1,=,2,=,1,=,1.0,=,1.0,=,1.0,=,1.0,=
